month,BRW_monthly (updated),date_fomc,BRW_fomc (updated),,Month,BRW_monthly,date_fomc,BRW_fomc,,0,0.0422961,0.0422961,1994,,,,
,,,,,,,,,,0.1048625,0.0422961,-0.0237437,1995,,,,
1994m1,0,4-Feb-94,0.1048625,,1994m1,0,4-Feb-94,0.1058963,,-0.0243272,-0.0479601,-0.0874118,1996,,,,
,,,,,,,,,,0,0.0036588,-0.0069959,1997,,,,
1994m2,0.1048625,22-Mar-94,-0.0243272,,1994m2,0.1058963,22-Mar-94,-0.0245015,,-0.0110494,0.0036588,-0.0668394,1998,-0.0606065,0,,
,,,,,,,,,,0,-0.0135212,0.00213,1999,-0.026943733,0,,
1994m3,-0.0243272,17-May-94,-0.0110494,,1994m3,-0.0245015,17-May-94,-0.0110132,,-0.0159146,-0.0135212,0.0893281,2000,-0.0438496,-0.0606065,-6.06065,1998
,,,,,,,,,,0.0287541,-0.0811811,-0.1110185,2001,0.031196033,0.031196033,3.119603333,2001
1994m4,0,6-Jul-94,-0.0159146,,1994m4,0,6-Jul-94,-0.0161392,,-0.037393,-0.0943992,-0.0901506,2002,0.0225459,-0.088120933,-8.812093333,2004
,,,,,,,,,,0,-0.0330958,-0.0840616,2003,-0.104062533,0.100013733,10.00137333,2007
1994m5,-0.0110494,16-Aug-94,0.0287541,,1994m5,-0.0110132,16-Aug-94,0.0291801,,0.0446075,-0.0330958,0.1000739,2004,-0.088120933,-0.1043679,-10.43679,2010
,,,,,,,,,,-0.0472438,-0.0458448,0.1578551,2005,-0.0226831,0.005822167,0.582216667,2013
1994m6,0,27-Sep-94,-0.037393,,1994m6,0,27-Sep-94,-0.0377613,,0,-0.0237437,-0.015669,2006,0.1193343,0.079026633,7.902663333,2016
,,,,,,,,,,0.0146063,-0.0692011,-0.0583081,2007,0.100013733,0.070299767,7.029976667,2019
1994m7,-0.0159146,15-Nov-94,0.0446075,,1994m7,-0.0161392,15-Nov-94,0.0451442,,0.0272917,-0.0838074,0.0521768,2008,-0.029882033,-0.045726133,-4.572613333,
,,,,,,,,,,0,-0.1163475,-0.4174573,2009,-0.0214798,,,
1994m8,0.0287541,20-Dec-94,-0.0472438,,1994m8,0.0291801,20-Dec-94,-0.0477787,,-0.0282294,-0.1163475,-0.2137283,2010,-0.1043679,,,
,,,,,,,,,,0,-0.0875906,0.1172787,2011,-0.349547633,,,
1994m9,-0.037393,1-Feb-95,0.0146063,,1994m9,-0.0377613,1-Feb-95,0.0147633,,-0.0835745,-0.0875906,-0.2170909,2012,-0.103392633,,,
,,,,,,,,,,0.015536,-0.0181616,-0.0120233,2013,0.005822167,,,
1994m10,0,28-Mar-95,0.0272917,,1994m10,0,28-Mar-95,0.027543,,0.0239104,-0.0395771,0.1643136,2014,-0.148735033,,,
,,,,,,,,,,0,-0.0891961,-0.0915473,2015,0.046755667,,,
1994m11,0.0446075,23-May-95,-0.0282294,,1994m11,0.0451442,23-May-95,-0.0285296,,0.0318585,-0.0891961,-0.0192946,2016,0.079026633,,,
,,,,,,,,,,-0.0251427,-0.1248874,0.0687879,2017,-0.067463067,,,
1994m12,-0.0472438,6-Jul-95,-0.0835745,,1994m12,-0.0477787,6-Jul-95,-0.08453,,-0.0454574,-0.0874118,0.0733235,2018,0.010066233,,,
,,,,,,,,,,0,-0.0419544,0.0292541,2019,0.070299767,,,
1995m1,0,22-Aug-95,0.015536,,1995m1,0,22-Aug-95,0.0156605,,-0.0052484,-0.0406236,-0.0685892,2020,0.0586337,,,
,,,,,,,,,,0,-0.0029329,,,-0.003360333,,,
1995m2,0.0146063,26-Sep-95,0.0239104,,1995m2,0.0147633,26-Sep-95,0.024162,,0.0005275,-0.0029329,,,-0.045726133,,,
,,,,,,,,,,0,-0.0361827,,,,,,
1995m3,0.0272917,15-Nov-95,0.0318585,,1995m3,0.027543,15-Nov-95,0.0321394,,-0.0141455,-0.0361827,,,,,,
,,,,,,,,,,-0.0058795,-0.0169797,,,,,,
1995m4,0,19-Dec-95,-0.0251427,,1995m4,0,19-Dec-95,-0.025374,,-0.0257086,0.013384,,,,,,
,,,,,,,,,,0,0.0191032,,,,,,
1995m5,-0.0282294,31-Jan-96,-0.0454574,,1995m5,-0.0285296,31-Jan-96,-0.0459326,,-0.0038328,0.0191032,,,,,,
,,,,,,,,,,0.0123329,0.0029466,,,,,,
1995m6,0,26-Mar-96,-0.0052484,,1995m6,0,26-Mar-96,-0.0052723,,0,-0.0069959,,,,,,
,,,,,,,,,,0.0013308,-0.0069959,,,,,,
1995m7,-0.0835745,21-May-96,0.0005275,,1995m7,-0.08453,21-May-96,0.0005516,,0.0324423,-0.0274345,,,,,,
,,,,,,,,,,0,-0.0746456,,,,,,
1995m8,0.015536,3-Jul-96,-0.0141455,,1995m8,0.0156605,3-Jul-96,-0.0143575,,-0.0327223,-0.0746456,,,,,,
,,,,,,,,,,0,-0.0539538,,,,,,
1995m9,0.0239104,20-Aug-96,-0.0058795,,1995m9,0.024162,20-Aug-96,-0.0059212,,0.0050575,-0.0539538,,,,,,
,,,,,,,,,,0.0244842,-0.0890839,,,,,,
1995m10,0,24-Sep-96,-0.0257086,,1995m10,0,24-Sep-96,-0.0258816,,-0.0199894,-0.1066873,,,,,,
